i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,within_social_distance_policy_period,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.052008003,0.01397119,0.012500778,0.0132905,0.045031592,0.013873731,0.02224023,0.0,0.02728298,0.026878525,0.016596794,0.02175676,0.018109897,0.02177471,0.039643455,0.040578976,0.010901406,0.022041883,0.022602372,0.013274239,0.012445109,0.011848371,0.013234942,0.013361848,0.016205912,0.0144109605,0.023847548,0.050979197,0.011825382,0.011322306,0.012534049,0.014421371,0.01463867,0.013358598,0.011760666,0.012327829,0.010919476,0.014494918,0.012000587,0.013749912,0.011695889,0.01141613,0.0123111205,0.012626812,0.013349686,0.010921032,0.012955225,0.011832843,0.012072719,0.015520633,0.01113302,0.01241837,0.012530233,0.011506871,0.015568935,0.011293637,0.0109371375,0.013728236,0.012135836
0.05507744,0.013915411,0.012797425,0.013619473,0.039045166,0.014411768,0.022879925,0.0,0.023604745,0.030219039,0.015744256,0.01913157,0.017908657,0.023290679,0.03982995,0.041174248,0.011266072,0.025138153,0.02351474,0.0127377855,0.012453743,0.012008016,0.014107806,0.0138254035,0.01508402,0.014363724,0.02405965,0.04392086,0.011891435,0.011350243,0.0129146455,0.015232313,0.015271963,0.013800491,0.011394581,0.011907551,0.011763781,0.0145219695,0.013399243,0.013864446,0.010793569,0.011758008,0.013096699,0.012105938,0.01332912,0.010752281,0.012945938,0.012552446,0.011444254,0.014198418,0.011677516,0.015512686,0.011486614,0.01135011,0.015768787,0.011312916,0.010781738,0.014571347,0.012119293
0.055580467,0.013514109,0.01210026,0.014045545,0.03980906,0.013864117,0.022738937,0.0,0.02194846,0.028053932,0.018113555,0.01919508,0.018333914,0.021680724,0.041576754,0.04503606,0.011189405,0.027876714,0.022152537,0.012501434,0.013022495,0.011601151,0.013569088,0.013963274,0.017071644,0.0155444,0.026971087,0.037463646,0.012072911,0.010905772,0.012785501,0.014078129,0.014628199,0.013622652,0.011749266,0.011955759,0.011336545,0.015358871,0.012162147,0.013680214,0.01115972,0.012172593,0.013270073,0.011832643,0.013652492,0.010448658,0.012614369,0.012183684,0.01199466,0.0160003,0.011105658,0.014289336,0.011750434,0.011374137,0.014298932,0.010989722,0.011289344,0.01451428,0.01220517
0.054922447,0.013716728,0.012498665,0.013378031,0.04328045,0.01373703,0.022179546,0.0,0.021658344,0.03048861,0.015195562,0.019408273,0.018126007,0.022438314,0.041385412,0.042020705,0.0112942355,0.024863781,0.024206752,0.012859995,0.012782772,0.012033514,0.013676469,0.0132654905,0.014505926,0.014446987,0.02448817,0.041406933,0.012189142,0.010643346,0.013114765,0.013285558,0.015129916,0.014154345,0.012007909,0.0120974,0.011118896,0.015042701,0.012133811,0.014222132,0.011240859,0.014321241,0.012633085,0.01264233,0.014528147,0.011011962,0.013441117,0.012136224,0.011851674,0.013097645,0.011493409,0.014359869,0.012073209,0.011670391,0.016489508,0.011009871,0.010980881,0.013802596,0.011810835
0.05707905,0.013774242,0.012239011,0.013184166,0.038521063,0.013679838,0.022922043,0.0,0.026356123,0.029367197,0.01641701,0.020100325,0.01856882,0.022425806,0.034265585,0.04121059,0.011340913,0.02530207,0.022191994,0.012802225,0.012371071,0.011587239,0.013765354,0.012598775,0.014199533,0.01413705,0.027064793,0.04615844,0.011743793,0.011321233,0.01190399,0.013962473,0.015379235,0.013294291,0.011732724,0.012101022,0.010563563,0.015765999,0.012422211,0.01290851,0.011008743,0.012857554,0.013664932,0.013184449,0.014902041,0.010827548,0.015028728,0.0122543955,0.01171854,0.013677353,0.011367583,0.013820888,0.01217776,0.011518261,0.016862167,0.011074953,0.011533414,0.014249824,0.0115414215
0.05332871,0.014045664,0.01234256,0.013511376,0.04285183,0.013836816,0.022153703,0.0,0.021833677,0.03191124,0.014590649,0.018878972,0.017876787,0.02117507,0.042089928,0.050037064,0.01077364,0.025646972,0.023772927,0.013104481,0.012261948,0.011904778,0.014415314,0.013286692,0.014930334,0.015659748,0.02374215,0.04571967,0.012255505,0.010776041,0.012181211,0.014233008,0.014370398,0.013944312,0.0114902435,0.011835217,0.010997951,0.0146246115,0.011907804,0.013302138,0.011090227,0.012068671,0.0122349905,0.012491501,0.013451862,0.010848152,0.013090228,0.011815407,0.011381917,0.013845544,0.011170632,0.013308241,0.011541644,0.011462363,0.015324415,0.010859493,0.010662144,0.013773086,0.01197826
0.054548375,0.01406668,0.012371172,0.01388847,0.039283168,0.013927176,0.023428885,0.0,0.020549113,0.025412679,0.015551032,0.018822987,0.018785423,0.022814365,0.04737044,0.050256256,0.011217678,0.02750878,0.02140967,0.013281487,0.012820256,0.011772034,0.014053915,0.012542011,0.016017219,0.014729527,0.027630232,0.038735654,0.01212297,0.011345479,0.012660747,0.014635959,0.014762833,0.013580799,0.011582799,0.011771665,0.011557004,0.015329398,0.012212075,0.011838129,0.01108693,0.011243783,0.013468676,0.01248144,0.014015082,0.010964392,0.012807228,0.011620747,0.01174807,0.014383576,0.010995743,0.013366378,0.012135428,0.011424508,0.0146207325,0.010833611,0.011181417,0.014176511,0.011251204
0.055169757,0.013493322,0.0123645635,0.013670133,0.039327733,0.013956099,0.022837697,0.0,0.021878703,0.027554575,0.016877513,0.020694928,0.018935574,0.025805004,0.040707707,0.034821887,0.011271806,0.026459841,0.023795255,0.013039394,0.0128069725,0.012430492,0.0144542735,0.013401981,0.017379656,0.015418476,0.027792783,0.040325012,0.012132389,0.010904993,0.012308177,0.015119787,0.014882495,0.014255402,0.011794501,0.011654971,0.0107021,0.0146462545,0.012527957,0.012210017,0.010650377,0.011984131,0.013809769,0.0124277985,0.015705055,0.011317698,0.014017846,0.011329495,0.011725106,0.013806569,0.011299535,0.015055722,0.011591036,0.011548155,0.015542503,0.011293799,0.011004525,0.014455601,0.011625121
0.060326226,0.013667713,0.012347931,0.0134254955,0.046177205,0.014254748,0.021914005,0.0,0.021514881,0.026249753,0.013979507,0.018789696,0.018406797,0.022354905,0.038350277,0.03721125,0.0113400435,0.023504002,0.02404836,0.012983769,0.012827036,0.01167714,0.0139808925,0.01320464,0.014836298,0.015816486,0.025746979,0.039539233,0.012290489,0.011409228,0.012795417,0.014644331,0.015473982,0.014692165,0.012253953,0.012433582,0.011183551,0.014661113,0.012811006,0.0141905965,0.011497665,0.011372611,0.013448263,0.012541499,0.015029454,0.01101472,0.0135825835,0.011963019,0.011866501,0.016035918,0.011305324,0.013112941,0.01266029,0.012036566,0.01610734,0.011134806,0.010742306,0.015648669,0.011584822
0.05305973,0.013896658,0.012199877,0.013366556,0.03893312,0.013755757,0.02289819,0.0,0.022672923,0.027993372,0.016040232,0.018371614,0.017673079,0.024399979,0.042963956,0.036755346,0.0110785775,0.024924763,0.028296161,0.012931222,0.01274962,0.011527713,0.013990748,0.014247558,0.017120602,0.014658649,0.023068478,0.044256758,0.012008106,0.011488262,0.01257511,0.014329707,0.014475694,0.013966944,0.011866708,0.012174199,0.010948386,0.014303488,0.012989689,0.013093524,0.010951612,0.013021797,0.013506725,0.012575695,0.015216065,0.011118288,0.013306066,0.012015419,0.011719784,0.01495645,0.0120185,0.013373803,0.011730977,0.0117559275,0.016521206,0.011006195,0.011085323,0.014354437,0.011714597
