i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.049921047,0.01260952,0.013415064,0.0130406525,0.02828996,0.014727582,0.019851973,0.02501172,0.0,0.022423016,0.02221587,0.019569673,0.019662457,0.03493379,0.010555893,0.019829733,0.02306316,0.018037064,0.014711444,0.013434678,0.01823799,0.01975856,0.02107252,0.016445981,0.020765921,0.03961426,0.013986822,0.011271626,0.015859514,0.01747076,0.016240371,0.019892197,0.014654953,0.014364309,0.013224495,0.019031819,0.013679896,0.014061138,0.01276146,0.015721304,0.018000936,0.012202488,0.016018813,0.012783194,0.011650264,0.01588692,0.011686157,0.024596887,0.013425907,0.019868774,0.014893141,0.011092106,0.01674153,0.0134141045,0.010798954,0.02250965,0.011009866
0.04684193,0.012654334,0.013705197,0.013328035,0.029992182,0.013744447,0.020997278,0.025375007,0.0,0.02219472,0.021965057,0.019545017,0.021712832,0.031775985,0.011035066,0.024010357,0.024483534,0.015496202,0.014489911,0.014226681,0.018728627,0.019573089,0.017915951,0.0166281,0.019696878,0.03748132,0.013437606,0.011511679,0.015665557,0.017061573,0.017309945,0.021029184,0.016115477,0.014406483,0.012898675,0.021689165,0.012317289,0.013255933,0.013607291,0.015447398,0.019608896,0.013985539,0.01738061,0.012675788,0.014909786,0.016959913,0.012993471,0.0,0.013643143,0.017372038,0.01671657,0.012283063,0.017119741,0.0127314795,0.012330032,0.03369812,0.012240774
0.04624537,0.013316572,0.013947268,0.014032243,0.032844458,0.015115096,0.02152619,0.029732881,0.0,0.025423253,0.023426522,0.018051196,0.020479737,0.03644332,0.011574729,0.029950421,0.021829575,0.016555296,0.01470855,0.014259112,0.018950699,0.025073463,0.018566819,0.017213905,0.020519398,0.043109164,0.014725955,0.011309948,0.015140896,0.018459002,0.018259404,0.01959189,0.014989444,0.015674053,0.011321251,0.018968472,0.013738795,0.0,0.012448295,0.016075369,0.019194288,0.01338729,0.0155438045,0.013180971,0.014418092,0.017382137,0.012912775,0.0,0.013587327,0.012250314,0.0168506,0.013103874,0.017467787,0.013777151,0.012899957,0.017577901,0.012867685
0.050201464,0.013422415,0.013878696,0.013947435,0.03210853,0.014818989,0.021360053,0.029343484,0.0,0.024448173,0.024830548,0.016678464,0.019804213,0.033118483,0.011446139,0.02422875,0.025428377,0.015253642,0.014745037,0.013752979,0.01913186,0.017876266,0.015054926,0.01644302,0.024124706,0.043542035,0.013998782,0.0124144005,0.01654596,0.018403737,0.01635063,0.01923156,0.015542399,0.01591604,0.012898847,0.018384123,0.014070929,0.0,0.013805634,0.014264767,0.01764506,0.0127808275,0.0167547,0.013227146,0.009635635,0.018227369,0.012480932,0.02359267,0.013911559,0.013847264,0.015378139,0.012600225,0.013314668,0.014855792,0.012501562,0.016267879,0.012162093
0.046229113,0.013393941,0.013376899,0.013955664,0.032615557,0.014093199,0.020381851,0.02747353,0.0,0.022065276,0.021876838,0.018612955,0.01811431,0.032444667,0.010652327,0.020886365,0.02615862,0.017841246,0.014382453,0.012600161,0.018310186,0.016951492,0.016906137,0.018934315,0.021932013,0.039670408,0.013741422,0.012417193,0.013998155,0.018281447,0.018505001,0.018154748,0.016388014,0.015668847,0.014304089,0.022445885,0.014499576,0.021703847,0.013818062,0.0108320685,0.016077738,0.013082684,0.0,0.012849892,0.015023332,0.01684555,0.01317776,0.015678149,0.013631968,0.018205296,0.018608887,0.012794496,0.022785362,0.013290093,0.012866085,0.017655093,0.012809694
0.047474463,0.013276623,0.01357243,0.014163678,0.030148108,0.014700113,0.021098303,0.029346792,0.0,0.020361235,0.022059403,0.017117409,0.020611614,0.037695654,0.011294811,0.021845441,0.022433182,0.01885216,0.01533836,0.013080437,0.020413073,0.01356916,0.013659817,0.020200863,0.01831165,0.04521581,0.01332566,0.012541024,0.014541712,0.016688453,0.017238816,0.01978823,0.016503826,0.016313246,0.013018467,0.021561995,0.013402955,0.013718827,0.013470968,0.015145178,0.022904206,0.014215608,0.01881762,0.0126753785,0.019580523,0.01641704,0.012874567,0.0,0.013458007,0.016723659,0.017830273,0.0140671935,0.012033452,0.01381028,0.011416279,0.017419415,0.012656544
0.04754885,0.0137384,0.014231792,0.013874967,0.030131673,0.014541021,0.020944767,0.029338213,0.0,0.02233764,0.01985789,0.020188801,0.019913292,0.034544095,0.011371894,0.023950437,0.0287419,0.016762527,0.014756356,0.014199975,0.017375393,0.017548658,0.01985947,0.01680619,0.018977702,0.043610137,0.0156049,0.011595,0.015822655,0.018139461,0.018384669,0.017895604,0.017602164,0.015103159,0.012730795,0.018744942,0.014392655,0.016938094,0.013077711,0.014532872,0.018729666,0.014460819,0.020653991,0.013658241,0.012691791,0.017763548,0.013931248,0.016102534,0.01277643,0.012231067,0.014651256,0.012309693,0.0,0.013414395,0.012010868,0.016727028,0.012170648
0.047990438,0.013325778,0.01372889,0.013732694,0.031777654,0.014482006,0.02065061,0.028695686,0.0,0.023470666,0.02250873,0.025622813,0.019063547,0.03126619,0.011456329,0.023363447,0.024212642,0.015643632,0.014699762,0.012572259,0.018530631,0.020285424,0.018360512,0.017283043,0.019912148,0.038527682,0.014705302,0.011817571,0.015711721,0.016516414,0.0159845,0.021028258,0.013123548,0.014013609,0.011467129,0.020615842,0.013778495,0.014347898,0.013568349,0.0236602,0.020612827,0.016114922,0.017650528,0.0138026085,0.014302367,0.0155212935,0.01167615,0.0,0.013478978,0.015329309,0.016081862,0.0114659155,0.015184639,0.013228566,0.012391955,0.019234607,0.012421419
0.050462667,0.0136284465,0.014062539,0.014214875,0.02884439,0.014419423,0.021299813,0.026696932,0.0,0.02387127,0.024492195,0.020082794,0.021181589,0.03170546,0.011184057,0.023672111,0.022483204,0.017552428,0.014369511,0.013964123,0.017404955,0.019370735,0.01832799,0.018490879,0.021275323,0.0403686,0.015156551,0.011533152,0.016780797,0.01685545,0.016699415,0.015911551,0.017068956,0.015256797,0.013213611,0.021090763,0.013126618,0.013864075,0.014092776,0.015470116,0.02172519,0.014597786,0.021462003,0.013644697,0.0134558,0.01867257,0.01309291,0.0,0.013153677,0.012319162,0.015831014,0.013658317,0.012326014,0.01384039,0.013235149,0.017114246,0.012324101
0.04930682,0.013346625,0.014066942,0.01438305,0.029917533,0.015578295,0.021396227,0.028698243,0.0,0.024050536,0.023513654,0.015370378,0.021272162,0.03367028,0.011095654,0.028387355,0.023021044,0.017964393,0.014938718,0.014620158,0.017900048,0.018905446,0.018251868,0.01560428,0.019570446,0.04849529,0.014625229,0.012225139,0.013878981,0.016336355,0.018140966,0.016721366,0.01694707,0.014282382,0.01303105,0.026765132,0.015433798,0.009461356,0.0132202,0.016528495,0.018868607,0.014271317,0.020624757,0.01303677,0.015258964,0.015637493,0.013413309,0.0,0.014221804,0.01495593,0.016180256,0.013733116,0.02000907,0.014014655,0.012625158,0.0,0.012225857
